0.0,0.0,0.0,0.0
0.0,180.0,0.0,180.0
0.0,360.0,0.0,360.0
168.0,168.0,169.0,160.0
175.0,51.0,178.0,42.0
180.0,86.0,184.0,90.0
201.0,127.0,200.0,126.0
201.0,221.0,208.0,242.0
212.0,153.0,208.0,152.0
225.0,182.0,219.0,189.0
232.0,35.0,224.0,18.0
239.0,78.0,239.0,85.0
240.0,0.0,240.0,0.0
240.0,360.0,240.0,360.0
240.0,203.0,240.0,215.0
241.0,172.0,234.0,179.0
243.0,227.0,243.0,248.0
257.0,175.0,255.0,182.0
264.0,147.0,266.0,142.0
277.0,125.0,273.0,122.0
285.0,213.0,281.0,229.0
292.0,40.0,296.0,37.0
304.0,76.0,299.0,81.0
318.0,164.0,318.0,164.0
480.0,0.0,480.0,0.0
480.0,180.0,480.0,180.0
480.0,360.0,480.0,360.0
